_id,case-name,cpu,duration,frame,git-branch,git-commit,git-datetime,git-timestamp,machine,nodename,returncode,test-name,test-size,uuid
5b3422828ea11a7ca2a935c6,10_exact_2d_cc,1,0.75149933,Whole Program,master,cb1b1aa149f6b2452cff4a5d7254c18c71d50254,2018-06-20 12:34:59,1529490899,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,117c91ad66804bb09a5d79cf789a270b
5b3424d98ea11a7ca2a94dba,11_exact_2d_nc_p0,1,0.739962948,Whole Program,master,cb1b1aa149f6b2452cff4a5d7254c18c71d50254,2018-06-20 12:34:59,1529490899,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,98f3518c633b4d528ddf08fa97bdaa42
5b3426e38ea11a7ca2a96614,10_exact_2d_cc,1,0.767103228,Whole Program,master,cb1b1aa149f6b2452cff4a5d7254c18c71d50254,2018-06-20 12:34:59,1529490899,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,1d77a7b3e9184842be0d51407b199938
5b3428e58ea11a7ca2a97d4b,10_exact_2d_cc,1,0.802014777,Whole Program,master,cb1b1aa149f6b2452cff4a5d7254c18c71d50254,2018-06-20 12:34:59,1529490899,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,fad38411c41a4276b9ce862f54dde3f3
5b342b348ea11a7ca2a99524,10_exact_2d_cc,1,0.775870357,Whole Program,master,cb1b1aa149f6b2452cff4a5d7254c18c71d50254,2018-06-20 12:34:59,1529490899,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,39b3ea68ea40456abc40a017afb0766c
5b342d398ea11a7ca2a9ac8d,10_exact_2d_cc,1,0.735450788,Whole Program,master,cb1b1aa149f6b2452cff4a5d7254c18c71d50254,2018-06-20 12:34:59,1529490899,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,5264dce18d7649bea220cb0f230dd572
5b342f8d8ea11a7ca2a9c4ca,10_exact_2d_cc,1,0.746222915,Whole Program,master,cb1b1aa149f6b2452cff4a5d7254c18c71d50254,2018-06-20 12:34:59,1529490899,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,7cbbbb1aa18d471997854602df75875a
5b3431d78ea11a7ca2a9dc7a,10_exact_2d_cc,1,0.764824087,Whole Program,master,cb1b1aa149f6b2452cff4a5d7254c18c71d50254,2018-06-20 12:34:59,1529490899,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,90793f9a50174d76bfda760726e5b1d3
5b34342b8ea11a7ca2a9f43c,11_exact_2d_nc_p0,1,0.751431556,Whole Program,master,cb1b1aa149f6b2452cff4a5d7254c18c71d50254,2018-06-20 12:34:59,1529490899,charon.nti.tul.cz,charon,1,12_darcy_frac,1040,eacba5cdca104392a45987a5f8faad9b
5b3436358ea11a7ca2aa0c66,10_exact_2d_cc,1,0.768005731,Whole Program,master,cb1b1aa149f6b2452cff4a5d7254c18c71d50254,2018-06-20 12:34:59,1529490899,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,4cb0c0d0948840b292bd180170ce196b
5b3438928ea11a991d6fdef7,10_exact_2d_cc,1,0.760443981,Whole Program,master,fb8f6ebae251d70a463d6f1bf4aa863ece7a6faf,2018-06-20 11:29:55,1529486995,charon.nti.tul.cz,charon,1,12_darcy_frac,1052,8938910fcd084d83aa549abad7180b7b
